TYPE;Model;Kv_rpm_v;Pole (number);Io (A);r_omn;weight_g;Imax (A);No s;Voltage;Inom_max (A);Eta_max (%);Kt_Nm_A;Tnom_Nm;Rend nom;Icc;I opt;Eta opt;Cf_Nm;Tmax_Nm;Estim -->;M*;R*;Cf*
KDEDirect;KDE2304XF-2350;2350;12;0.7;0.091;24;20;2;7.4;;;0.00406353;0.081270609;72.76621622;81.31868132;7.54473836;;0.002844471;0.081270609;;;;
KDEDirect;KDE2306XF-2050;2050;12;0.6;0.068;29;24;2;7.4;;;0.004658193;0.111796643;75.9972973;108.8235294;8.080477563;;0.002794916;0.111796643;;;;
KDEDirect;KDE2306XF-2550;2550;12;1.2;0.044;29;34;2;7.4;;;0.003744822;0.127323954;76.96788553;168.1818182;14.20627262;;0.004493787;0.127323954;;;;
KDEDirect;KDE2315XF-2050;2050;12;1.3;0.034;64;44;2;7.4;;;0.004658193;0.204960512;77.42653563;217.6470588;16.8208554;;0.006055651;0.204960512;;;;
KDEDirect;KDE2315XF-965;965;12;0.5;0.102;64;26;3;11.1;;;0.009895644;0.257286747;74.64449064;108.8235294;7.376433061;;0.004947822;0.257286747;;;;
KDEDirect;KDE2315XF-885;885;12;0.5;0.127;64;24;3;11.1;;;0.010790166;0.258963975;71.02927928;87.4015748;6.610657108;;0.005395083;0.258963975;;;;
KDEDirect;KDE2814XF-775;775;12;0.5;0.069;95;36;3;11.1;;;0.012321673;0.443580228;76.54354354;160.8695652;8.968544063;;0.006160837;0.443580228;;;;
KDEDirect;KDE2814XF-515;515;12;0.3;0.13;95;24;4;14.8;;;0.018542323;0.445015763;77.93243243;113.8461538;5.844129204;;0.005562697;0.445015763;;;;
KDEDirect;KDE3510XF-715;715;12;0.5;0.054;120;45;3;11.1;;;0.01335566;0.60100468;77.24024024;205.5555556;10.13793755;;0.00667783;0.60100468;;;;
KDEDirect;KDE3510XF-475;475;12;0.2;0.105;120;30;4;14.8;;;0.020103782;0.603113469;78.19144144;140.952381;5.309470425;;0.004020756;0.603113469;;;;
KDEDirect;KDE4012XF-400;400;18;0.5;0.08;145;32;4;14.8;;;0.023873241;0.763943727;81.41047297;185;9.617692031;;0.011936621;0.763943727;;;;
KDEDirect;KDE4014XF-380;380;18;0.5;0.075;160;36;4;14.8;;;0.025129728;0.904670203;80.62124625;197.3333333;9.933109617;;0.012564864;0.904670203;;;;
KDEDirect;KDE4213XF-360;360;24;0.4;0.081;175;38;4;14.8;;;0.026525824;1.007981306;78.36899004;182.7160494;8.549059583;;0.01061033;1.007981306;;;;
KDEDirect;KDE3520XF-400;400;12;0.3;0.078;190;45;4;14.8;;;0.023873241;1.074295866;75.77522523;189.7435897;7.54473836;;0.007161972;1.074295866;;;;
KDEDirect;KDE4215XF-465;465;24;0.7;0.052;195;62;4;14.8;;;0.020536122;1.273239545;77.3331299;284.6153846;14.11491301;;0.014375285;1.273239545;;;;
KDEDirect;KDE5215XF-435;435;24;1.4;0.031;305;72;4;14.8;;;0.021952406;1.580573228;83.26771772;477.4193548;25.85318349;;0.030733368;1.580573228;;;;
KDEDirect;KDE5215XF-330;330;24;0.7;0.044;305;62;4;14.8;;;0.028937262;1.794110268;80.64664342;336.3636364;15.34452819;;0.020256084;1.794110268;;;;
KDEDirect;KDE5215XF-220;220;24;0.5;0.078;305;44;6;22.2;;;0.043405894;1.909859317;83.57985258;284.6153846;11.92927878;;0.021702947;1.909859317;;;;
KDEDirect;KDE6213XF-185;185;24;0.6;0.072;360;62;6;22.2;;;0.051617819;3.200304802;79.11874455;308.3333333;13.60147051;;0.030970692;3.200304802;;;;
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;12200;2;0.0234;0.0231;1.2;0.468;0.810810811;3;;;0.000784;0.000215;94.657658;129.8701299;1.743261609;;1.83E-05;0.000366317;;;;
maxon EC ;EC 4 ?4 mm, brushless,0.5 Watt;6240;2;0.0121;0.0881;1.2;0.263;1.621621622;6;;;0.00153;0.000222;95.03083471;68.10442679;0.907779469;;0.000018513;0.000402478;;;;
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;14200;2;0.0776;0.00946;1.8;1.15;0.810810811;3;;;0.000671;0.000319;92.91401045;317.1247357;4.960733766;;5.21E-05;0.000773359;;;;
maxon EC ;EC 4 ?4 mm, brushless,1.0 Watt;5360;2;0.0248;0.0668;1.8;0.358;1.621621622;6;;;0.00178;0.000341;92.70166303;89.82035928;1.492496201;;0.000044144;0.000637807;;;;
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;7900;2;0.0469;0.065;3;0.688;1.621621622;6;;;0.00121;0.000339;92.48861453;92.30769231;2.080680362;;0.000056749;0.000831635;;;;
maxon EC ;EC 6 ?6 mm, brushless,1.5 Watt;3040;2;0.0155;0.436;3;0.188;3.243243243;12;;;0.00314;0.00033;91.12856915;27.52293578;0.653150446;;0.00004867;0.000590549;;;;
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;25800;2;0.209;0.005;3;3.92;0.810810811;3;;;0.00037;0.000394;94.04986735;600;11.19821414;;0.00007733;0.001450901;;;;
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;10800;2;0.0783;0.03;3;1.72;1.621621622;6;;;0.000882;0.000398;94.62682442;200;3.957271787;;6.91E-05;0.001520814;;;;
maxon EC ;EC 6 ?6 mm, brushless, 2 Watt;5460;2;0.0398;0.118;3;0.97;3.243243243;12;;;0.00175;0.00041;94.98221055;101.6949153;2.011829423;;0.00006965;0.001696487;;;;
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;6200;2;0.0692;0.039;6;1.98;1.621621622;6;;;0.00154;0.000977;95.26303051;153.8461538;3.262844441;;0.000106568;0.003049614;;;;
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;3770;2;0.046;0.106;6;1.54;3.243243243;12;;;0.00253;0.000942;95.69328701;113.2075472;2.282005077;;0.00011638;0.003900774;;;;
maxon EC ;EC 8 ?8 mm, brushless, 2 Watt;1830;2;0.0221;0.447;6;0.755;6.486486486;24;;;0.00521;0.000944;95.70782143;53.69127517;1.089301235;;0.000115141;0.003939737;;;;
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;8340;2;0.16;0.00998;13;10.4;1.621621622;6;;;0.00115;0.00174;96.75828513;601.2024048;9.807771652;;0.000184;0.011907996;;;;
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;5920;2;0.118;0.0198;13;8.05;2.432432432;9;;;0.00161;0.00163;96.78912149;454.5454545;7.323685113;;0.00018998;0.012985108;;;;
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;4500;2;0.0904;0.0342;13;6.46;3.243243243;12;;;0.00212;0.00162;96.7852832;350.877193;5.631988836;;0.000191648;0.013708546;;;;
maxon EC ;EC 10 ?10 mm, brushless, 8 Watt;3220;2;0.0673;0.0671;13;5.27;4.864864865;18;;;0.00297;0.00161;96.78350921;268.2563338;4.248958845;;0.000199881;0.015628818;;;;
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;5000;2;0.168;0.021;19;4.08;1.621621622;6;;;0.00191;0.00223;94.51315294;285.7142857;6.92820323;;0.00032088;0.007792226;;;;
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;3520;2;0.121;0.042;19;3.52;2.432432432;9;;;0.00271;0.00236;94.9763;214.2857143;5.092010549;;0.00032791;0.009549297;;;;
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;2380;2;0.0786;0.091;19;2.06;3.243243243;12;;;0.00401;0.00232;94.68190435;131.8681319;3.219446407;;0.000315186;0.008265358;;;;
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;1610;2;0.0535;0.198;19;1.35;4.864864865;18;;;0.00592;0.00224;94.61088704;90.90909091;2.205365358;;0.00031672;0.008007174;;;;
maxon EC ;EC 13 ?13 mm, brushless, 6 Watt;1200;2;0.0398;0.357;19;0.973;6.486486486;24;;;0.00794;0.00221;94.52142307;67.22689076;1.635735386;;0.000316012;0.007742888;;;;
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;4100;2;0.198;0.0103;29;9.31;1.621621622;6;;;0.00233;0.00515;96.3090279;582.5242718;10.73963714;;0.00046134;0.021683891;;;;
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;2730;2;0.132;0.0233;29;7.85;2.432432432;9;;;0.00349;0.00564;96.32036689;386.2660944;7.140526904;;0.00046068;0.0274586;;;;
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;2050;2;0.0989;0.0413;29;5.1;3.243243243;12;;;0.00466;0.00513;96.3395724;290.5569007;5.360604209;;0.000460874;0.023756787;;;;
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;1410;2;0.0689;0.0879;29;4.24;4.864864865;18;;;0.0068;0.00553;96.33811283;204.778157;3.756223505;;0.00046852;0.028715615;;;;
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;1020;2;0.0495;0.165;29;2.67;6.486486486;24;;;0.00932;0.00518;96.34447367;145.4545455;2.683281573;;0.00046134;0.024996688;;;;
maxon EC ;EC 13 ?13 mm, brushless, 12 Watt;751;2;0.0382;0.308;29;2.38;9.72972973;36;;;0.0127;0.00538;96.39141798;116.8831169;2.113039296;;0.00048514;0.030262751;;;;
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;5480;2;0.171;0.018;37;34.5;3.243243243;12;;;0.00174;0.00463;94.35499783;666.6666667;10.67707825;;0.00029754;0.060118747;;;;
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;2740;2;0.0856;0.072;37;18.4;6.486486486;24;;;0.00349;0.00463;94.04046261;333.3333333;5.341660166;;0.000298744;0.064126663;;;;
maxon EC ;EC 13 ?13 mm, brushless, 30 Watt;1590;2;0.054;0.213;37;11.4;12.97297297;48;;;0.00599;0.00412;94.49152829;225.3521127;3.488411398;;0.00032346;0.068466655;;;;
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;6140;2;0.27;0.007;44;74.8;3.243243243;12;;;0.00155;0.00691;95.2914541;1714.285714;21.51411497;;0.0004185;0.11633345;;;;
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;3070;2;0.135;0.026;44;46.8;6.486486486;24;;;0.00311;0.00717;94.65616346;923.0769231;11.16312611;;0.00041985;0.145572339;;;;
maxon EC ;EC 13 ?13 mm, brushless, 50 Watt;1540;2;0.0676;0.104;44;24.5;12.97297297;48;;;0.00622;0.00717;94.43039497;461.5384615;5.585696018;;0.000420472;0.151920627;;;;
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;3760;2;0.397;0.0235;34;29.8;3.243243243;12;;;0.00254;0.00785;92.90969773;510.6382979;14.23809693;;0.00100838;0.075683255;;;;
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;2380;2;0.241;0.059;34;19.4;4.864864865;18;;;0.00402;0.00801;92.47783751;305.0847458;8.574696714;;0.00096882;0.077838804;;;;
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;1810;2;0.185;0.102;34;15.6;6.486486486;24;;;0.00529;0.00809;92.26272756;235.2941176;6.597682302;;0.00097865;0.08230333;;;;
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;1290;2;0.139;0.2;34;11.1;9.72972973;36;;;0.0074;0.00756;92.6583033;180;5.0019996;;0.0010286;0.082168366;;;;
maxon EC ;EC 16 ?16 mm, brushless, 30 Watt;836;2;0.0808;0.477;34;6.35;12.97297297;48;;;0.0114;0.00787;92.49754156;100.6289308;2.851458856;;0.00092112;0.072533533;;;;
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;3120;2;0.327;0.02;58;51.4;3.243243243;12;;;0.00306;0.0172;90.85164656;600;14.00714104;;0.00100062;0.15731854;;;;
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;2420;2;0.272;0.033;58;52;4.864864865;18;;;0.00394;0.0169;89.99345641;545.4545455;12.18046125;;0.00107168;0.205191497;;;;
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;1820;2;0.204;0.059;58;42.2;6.486486486;24;;;0.00525;0.017;89.19257101;406.779661;9.109503326;;0.001071;0.221417756;;;;
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;1360;2;0.153;0.104;58;32.8;8.648648649;32;;;0.007;0.017;88.92326159;307.6923077;6.861262499;;0.001071;0.230306565;;;;
maxon EC ;EC 16 ?16 mm, brushless, 60 Watt;873;2;0.0962;0.254;58;20.5;12.97297297;48;;;0.0109;0.0171;88.73372087;188.976378;4.263745719;;0.00104858;0.224238923;;;;
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;2550;2;0.238;0.0182;85;49.1;3.243243243;12;;;0.00375;0.0209;92.10453828;659.3406593;12.52689415;;0.0008925;0.18387077;;;;
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;1470;2;0.144;0.0546;85;37.4;6.486486486;24;;;0.00649;0.0207;91.13923326;439.5604396;7.95592253;;0.00093456;0.242954893;;;;
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;882;2;0.0833;0.152;85;20.4;9.72972973;36;;;0.0108;0.0204;91.01350444;236.8421053;4.441727971;;0.00089964;0.220868084;;;;
maxon EC ;EC 22 ?22 mm, brushless, 40 Watt;716;2;0.0693;0.231;85;17.7;12.97297297;48;;;0.0133;0.0201;91.1237002;207.7922078;3.794733192;;0.00092169;0.236065013;;;;
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;1730;2;0.373;0.0178;128;116;4.864864865;18;;;0.00553;0.0493;88.24422272;1011.235955;19.42140601;;0.00206269;0.640299655;;;;
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;1230;2;0.257;0.035;128;89.1;6.486486486;24;;;0.00775;0.0485;86.75528921;685.7142857;13.27511098;;0.00199175;0.691741728;;;;
maxon EC ;EC 22 ?22 mm, brushless, 100 Watt;672;2;0.149;0.118;128;60.2;12.97297297;48;;;0.0142;0.0476;84.98995419;406.779661;7.785253335;;0.0021158;0.855457819;;;;
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;278;2;0.0639;0.626;210;13.4;12.97297297;48;;;0.0344;0.0579;82.13063725;76.67731629;2.213522196;;0.00219816;0.460289835;;;;
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;285;2;0.0534;0.626;210;10.3;12.97297297;48;;;0.0335;0.044;86.11827923;76.67731629;2.023504062;;0.0017889;0.345114929;;;;
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;290;2;0.0549;0.626;210;8.98;12.97297297;48;;;0.0329;0.0324;87.74882351;76.67731629;2.051727239;;0.00180621;0.295698908;;;;
maxon EC ;EC 22 ?22 mm, brushless, 80 Watt;296;2;0.0565;0.626;210;7.93;12.97297297;48;;;0.0323;0.0149;89.01915951;76.67731629;2.081410188;;0.00182495;0.255830817;;;;
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;278;2;0.384;0.626;210;13.4;12.97297297;48;;;0.0344;0.149;80.15929502;76.67731629;5.426240822;;0.0132096;0.460289835;;;;
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;285;2;0.177;0.626;210;10.3;12.97297297;48;;;0.0335;0.12;85.07947423;76.67731629;3.684003934;;0.0059295;0.345114929;;;;
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;290;2;0.183;0.626;210;8.98;12.97297297;48;;;0.0329;0.0922;86.48938392;76.67731629;3.745924303;;0.0060207;0.295698908;;;;
maxon EC ;EC 22 ?22 mm, brushless, 240 Watt;296;2;0.188;0.626;210;7.93;12.97297297;48;;;0.0323;0.0558;87.53239766;76.67731629;3.796753279;;0.0060724;0.255830817;;;;
maxon EC ;EC 25 ?25 mm, brushless, 250 Watt;1780;2;0.242;0.014;240;294;9.72972973;36;;;0.00536;0.0351;88.49376485;2571.428571;24.94565522;;0.00129712;1.577243369;;;;
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;1280;2;0.662;0.03;270;57.2;3.243243243;12;;;0.00748;0.0446;84.70815734;400;16.27267649;;0.00495176;0.426734191;;;;
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;806;2;0.404;0.0752;270;37.4;4.864864865;18;;;0.0118;0.0452;83.46367943;239.3617021;9.833723998;;0.0047672;0.443106318;;;;
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;737;2;0.349;0.09;270;31.4;4.864864865;18;;;0.013;0.0459;83.36303503;200;8.35463943;;0.004537;0.406849271;;;;
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;465;2;0.199;0.226;270;17.3;6.486486486;24;;;0.0205;0.0472;82.74626932;106.1946903;4.597036367;;0.0040795;0.355274905;;;;
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;414;2;0.211;0.285;270;19.7;9.72972973;36;;;0.0231;0.0438;83.50014234;126.3157895;5.162618675;;0.0048741;0.454398895;;;;
maxon EC ;EC 32 ?32 mm, brushless, 80 Watt;239;2;0.104;0.856;270;8.84;12.97297297;48;;;0.04;0.0459;83.24432941;56.07476636;2.414906976;;0.00416;0.353204108;;;;
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;659;2;0.617;0.0329;580;181;4.054054054;15;;;0.0145;0.171;60.09511136;455.9270517;16.77220888;;0.0089465;2.622796179;;;;
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;412;2;0.386;0.0843;580;115;6.486486486;24;;;0.0232;0.165;59.40618033;284.6975089;10.48299759;;0.0089552;2.665458998;;;;
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;241;2;0.23;0.246;580;69.1;11.35135135;42;;;0.0396;0.161;59.3290062;170.7317073;6.266441788;;0.009108;2.737993336;;;;
maxon EC ;EC 40 ?40 mm, brushless, 170 Watt;206;2;0.193;0.337;580;59.6;12.97297297;48;;;0.0464;0.165;57.96750991;142.4332344;5.243053904;;0.0089552;2.762806197;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;827;2;1.53;0.0266;850;119;3.243243243;12;;;0.0115;0.174;72.67510238;451.1278195;26.27214426;;0.017595;1.37408258;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;478;2;0.577;0.0797;850;43.6;3.243243243;12;;;0.02;0.186;70.102163;150.5646173;9.320718008;;0.01154;0.871023705;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;579;2;1.12;0.0542;850;93.3;4.864864865;18;;;0.0165;0.171;71.04314905;332.103321;19.28615357;;0.01848;1.538772662;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;334;2;0.419;0.163;850;32.6;4.864864865;18;;;0.0286;0.184;69.57304059;110.4294479;6.802201015;;0.0119834;0.932057092;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;445;2;0.879;0.0917;850;74.8;6.486486486;24;;;0.0214;0.169;70.58088423;261.7230098;15.16754844;;0.0188106;1.60514019;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;257;2;0.328;0.275;850;25.6;6.486486486;24;;;0.0371;0.183;69.76125;87.27272727;5.350276119;;0.0121688;0.951213979;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;263;2;0.471;0.263;850;43.1;9.72972973;36;;;0.0363;0.179;67.7643398;136.8821293;8.029413608;;0.0170973;1.564922748;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;152;2;0.177;0.788;850;14.5;9.72972973;36;;;0.0628;0.191;67.42785479;45.68527919;2.843641049;;0.0111156;0.910952635;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;214;2;0.411;0.395;850;37.2;12.97297297;48;;;0.0445;0.174;68.62088004;121.5189873;7.067128398;;0.0182895;1.659971182;;;;
maxon EC ;EC 45 ?45 mm, brushless, 150 Watt;124;2;0.154;1.19;850;12.5;12.97297297;48;;;0.0771;0.187;68.16020833;40.33613445;2.49234121;;0.0118734;0.962630704;;;;
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;364;2;0.897;0.0565;1150;167;6.486486486;24;;;0.0263;0.311;60.35945967;424.7787611;19.51990135;;0.0235911;4.381133324;;;;
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;210;2;0.341;0.17;1150;55.8;6.486486486;24;;;0.0455;0.331;60.10543056;141.1764706;6.938384284;;0.0155155;2.537384521;;;;
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;291;2;0.834;0.0883;1150;175;9.72972973;36;;;0.0328;0.312;56.80437913;407.7010193;18.43970309;;0.0273552;5.742704132;;;;
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;168;2;0.312;0.265;1150;58.3;9.72972973;36;;;0.0569;0.341;56.77922594;135.8490566;6.510369088;;0.0177528;3.313833279;;;;
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;224;2;0.656;0.149;1150;143;12.97297297;48;;;0.0427;0.316;55.35530874;322.147651;14.53715443;;0.0280112;6.096202731;;;;
maxon EC ;EC 45 ?45 mm, brushless, 250 Watt;129;2;0.244;0.448;1150;47.7;12.97297297;48;;;0.0739;0.347;55.19620294;107.1428571;5.113008619;;0.0180316;3.53101897;;;;
maxon EC ;EC 60 ?60 mm, brushless, 400 Watt;113;2;0.67;0.273;2450;139;12.97297297;48;;;0.0849;0.768;20.84279811;175.8241758;10.85367209;;0.056883;11.74647987;;;;
maxon EC ;EC 60 ?60 mm, brushless, 400 Watt;65;2;0.268;0.82;2450;46.4;12.97297297;48;;;0.147;0.843;20.61358046;58.53658537;3.960783367;;0.039396;6.81672864;;;;
