TYPE;J;CT;CP;Eta
APC-E-9x4.5;0.16;0.0792;0.0386;0.328
APC-E-9x4.5;0.195;0.0729;0.0375;0.381
APC-E-9x4.5;0.234;0.0656;0.0356;0.432
APC-E-9x4.5;0.278;0.0578;0.0333;0.482
APC-E-9x4.5;0.315;0.0524;0.0316;0.522
APC-E-9x4.5;0.369;0.0445;0.0292;0.563
APC-E-9x4.5;0.397;0.0405;0.0277;0.582
APC-E-9x4.5;0.443;0.0337;0.0251;0.595
APC-E-9x4.5;0.487;0.0262;0.0218;0.585
APC-E-9x4.5;0.527;0.0196;0.0189;0.548
APC-E-9x4.5;0.564;0.0128;0.0156;0.461
APC-E-9x4.5;0.602;0.0057;0.0121;0.285
APC-E-9x4.5;0.654;-0.0038;0.0075;-0.336
APC-E-9x4.5;0.129;0.0888;0.0399;0.286
APC-E-9x4.5;0.161;0.084;0.0396;0.341
APC-E-9x4.5;0.193;0.0787;0.0389;0.391
APC-E-9x4.5;0.224;0.0732;0.0378;0.433
APC-E-9x4.5;0.26;0.0662;0.0362;0.475
APC-E-9x4.5;0.29;0.0605;0.0345;0.508
APC-E-9x4.5;0.32;0.0545;0.0326;0.536
APC-E-9x4.5;0.354;0.049;0.0308;0.563
APC-E-9x4.5;0.388;0.0434;0.0288;0.585
APC-E-9x4.5;0.412;0.0396;0.0273;0.598
APC-E-9x4.5;0.448;0.0338;0.025;0.606
APC-E-9x4.5;0.481;0.0283;0.0227;0.599
APC-E-9x4.5;0.507;0.024;0.0208;0.585
APC-E-9x4.5;0.547;0.0172;0.0176;0.533
APC-E-9x4.5;0.576;0.0118;0.015;0.452
APC-E-9x4.5;0.608;0.0062;0.0121;0.311
APC-E-9x4.5;0.641;-0.0001;0.0089;-0.01
APC-E-9x4.5;0.108;0.0939;0.0401;0.252
APC-E-9x4.5;0.133;0.0915;0.0404;0.302
APC-E-9x4.5;0.16;0.0884;0.0406;0.348
APC-E-9x4.5;0.189;0.084;0.0402;0.394
APC-E-9x4.5;0.213;0.0803;0.0398;0.431
APC-E-9x4.5;0.24;0.0754;0.0389;0.466
APC-E-9x4.5;0.27;0.0692;0.0374;0.5
APC-E-9x4.5;0.296;0.0638;0.0359;0.526
APC-E-9x4.5;0.321;0.0588;0.0344;0.549
APC-E-9x4.5;0.347;0.0533;0.0326;0.568
APC-E-9x4.5;0.375;0.048;0.0307;0.587
APC-E-9x4.5;0.4;0.0437;0.029;0.603
APC-E-9x4.5;0.424;0.0397;0.0274;0.613
APC-E-9x4.5;0.454;0.0346;0.0254;0.618
APC-E-9x4.5;0.476;0.031;0.0239;0.619
APC-E-9x4.5;0.507;0.0252;0.0213;0.598
APC-E-9x4.5;0.529;0.0213;0.0196;0.576
APC-E-9x4.5;0.394;0.0473;0.0307;0.606
APC-E-9x4.5;0.416;0.0431;0.0289;0.62
APC-E-9x4.5;0.439;0.0391;0.0275;0.624
APC-E-9x4.5;0.462;0.0352;0.0259;0.628
APC-E-9x4.5;0.487;0.0307;0.0239;0.625
APC-E-9x4.5;0.509;0.0268;0.0222;0.613
APC-E-9x4.5;0.534;0.0224;0.0201;0.593
APC-E-9x4.5;0.56;0.0176;0.0178;0.554
APC-E-9x4.5;0.581;0.014;0.016;0.507
APC-E-9x4.5;0.606;0.0092;0.0135;0.413
APC-E-9x4.5;0.628;0.0052;0.0113;0.288
APC-E-9x4.5;0.653;0.0003;0.0086;0.026
APC-E-9x4.5;0.672;-0.0033;0.0065;-0.344
APC-E-9x4.5;0.091;0.0971;0.0403;0.22
APC-E-9x4.5;0.114;0.0953;0.0406;0.267
APC-E-9x4.5;0.14;0.0928;0.0408;0.319
APC-E-9x4.5;0.163;0.0906;0.041;0.36
APC-E-9x4.5;0.187;0.0879;0.0412;0.399
APC-E-9x4.5;0.21;0.0844;0.0409;0.434
APC-E-9x4.5;0.233;0.0808;0.0405;0.465
APC-E-9x4.5;0.257;0.0767;0.0398;0.495
APC-E-9x4.5;0.277;0.0728;0.039;0.518
APC-E-9x4.5;0.302;0.0673;0.0374;0.543
APC-E-9x4.5;0.328;0.062;0.036;0.566
APC-E-9x4.5;0.351;0.0571;0.0343;0.585
APC-E-9x4.5;0.369;0.0535;0.0333;0.594
APC-E-9x4.5;0.395;0.0475;0.0307;0.61
APC-E-9x4.5;0.417;0.0433;0.0292;0.618
APC-E-9x4.5;0.438;0.0392;0.0275;0.626
APC-E-9x4.5;0.46;0.0356;0.026;0.631
Graupner CAM 9x4;0.159;0.0463;0.0256;0.287
Graupner CAM 9x4;0.196;0.0419;0.0246;0.334
Graupner CAM 9x4;0.238;0.0371;0.0234;0.377
Graupner CAM 9x4;0.28;0.0317;0.0218;0.408
Graupner CAM 9x4;0.317;0.0272;0.0206;0.419
Graupner CAM 9x4;0.362;0.0209;0.0186;0.408
Graupner CAM 9x4;0.396;0.0163;0.0171;0.376
Graupner CAM 9x4;0.445;0.0093;0.0148;0.28
Graupner CAM 9x4;0.475;0.0048;0.0131;0.175
Graupner CAM 9x4;0.522;-0.0025;0.0103;-0.127
Graupner CAM 9x4;0.561;-0.0088;0.0078;-0.63
Graupner CAM 9x4;0.593;-0.0142;0.0057;-1.47
Graupner CAM 9x4;0.127;0.0524;0.0264;0.252
Graupner CAM 9x4;0.158;0.0495;0.0259;0.302
Graupner CAM 9x4;0.191;0.0463;0.0254;0.348
Graupner CAM 9x4;0.225;0.0422;0.0245;0.387
Graupner CAM 9x4;0.256;0.0384;0.0236;0.416
Graupner CAM 9x4;0.286;0.0343;0.0226;0.434
Graupner CAM 9x4;0.322;0.029;0.0211;0.443
Graupner CAM 9x4;0.348;0.0255;0.0201;0.441
Graupner CAM 9x4;0.379;0.0206;0.0185;0.421
Graupner CAM 9x4;0.417;0.0151;0.0168;0.374
Graupner CAM 9x4;0.449;0.0101;0.015;0.302
Graupner CAM 9x4;0.47;0.0068;0.0137;0.233
Graupner CAM 9x4;0.506;0.0011;0.0115;0.049
Graupner CAM 9x4;0.538;-0.0042;0.0094;-0.239
Graupner CAM 9x4;0.57;-0.0096;0.0072;-0.767
Graupner CAM 9x4;0.104;0.0586;0.0272;0.224
Graupner CAM 9x4;0.131;0.0559;0.0269;0.273
Graupner CAM 9x4;0.156;0.0534;0.0266;0.313
Graupner CAM 9x4;0.187;0.05;0.026;0.358
Graupner CAM 9x4;0.213;0.047;0.0255;0.392
Graupner CAM 9x4;0.238;0.0437;0.0248;0.42
Graupner CAM 9x4;0.263;0.0402;0.024;0.44
Graupner CAM 9x4;0.289;0.0369;0.0232;0.459
Graupner CAM 9x4;0.317;0.0328;0.0222;0.469
Graupner CAM 9x4;0.341;0.0292;0.0212;0.47
Graupner CAM 9x4;0.366;0.0254;0.0201;0.462
Graupner CAM 9x4;0.396;0.0206;0.0187;0.437
Graupner CAM 9x4;0.42;0.0166;0.0173;0.404
Graupner CAM 9x4;0.449;0.0118;0.0155;0.342
Graupner CAM 9x4;0.475;0.0076;0.0139;0.259
Graupner CAM 9x4;0.504;0.0028;0.012;0.116
Graupner CAM 9x4;0.525;-0.0012;0.0103;-0.064
Graupner CAM 9x4;0.384;0.0249;0.0201;0.477
Graupner CAM 9x4;0.408;0.0207;0.0186;0.456
Graupner CAM 9x4;0.428;0.0173;0.0175;0.424
Graupner CAM 9x4;0.45;0.0138;0.0162;0.382
Graupner CAM 9x4;0.47;0.0103;0.0149;0.326
Graupner CAM 9x4;0.497;0.0056;0.013;0.214
Graupner CAM 9x4;0.519;0.0018;0.0115;0.083
Graupner CAM 9x4;0.539;-0.0017;0.01;-0.09
Graupner CAM 9x4;0.564;-0.0064;0.0081;-0.445
Graupner CAM 9x4;0.584;-0.0101;0.0066;-0.891
Graupner CAM 9x4;0.091;0.0626;0.0275;0.206
Graupner CAM 9x4;0.113;0.0607;0.0274;0.25
Graupner CAM 9x4;0.135;0.0586;0.0272;0.292
Graupner CAM 9x4;0.159;0.0562;0.0269;0.332
Graupner CAM 9x4;0.179;0.0541;0.0267;0.363
Graupner CAM 9x4;0.205;0.0511;0.0262;0.399
Graupner CAM 9x4;0.227;0.0482;0.0257;0.426
Graupner CAM 9x4;0.251;0.0446;0.025;0.448
Graupner CAM 9x4;0.27;0.0422;0.0245;0.465
Graupner CAM 9x4;0.292;0.0392;0.0239;0.481
Graupner CAM 9x4;0.318;0.0352;0.0228;0.49
Graupner CAM 9x4;0.345;0.0317;0.0221;0.496
Graupner CAM 9x4;0.365;0.0283;0.021;0.489
Graupner CAM 9x4;0.383;0.025;0.0201;0.478
Graupner CAM 9x4;0.404;0.0219;0.0191;0.464
Graupner CAM 9x4;0.427;0.018;0.0179;0.431
Graupner CAM 9x4;0.452;0.0135;0.0161;0.378
Graupner Super Nylon 9x4;0.151;0.0695;0.0363;0.289
Graupner Super Nylon 9x4;0.19;0.0636;0.0352;0.344
Graupner Super Nylon 9x4;0.232;0.0577;0.034;0.394
Graupner Super Nylon 9x4;0.271;0.0509;0.0322;0.427
Graupner Super Nylon 9x4;0.312;0.0434;0.03;0.45
Graupner Super Nylon 9x4;0.362;0.035;0.0273;0.465
Graupner Super Nylon 9x4;0.394;0.0299;0.0253;0.465
Graupner Super Nylon 9x4;0.44;0.0214;0.0221;0.425
Graupner Super Nylon 9x4;0.481;0.0141;0.0189;0.358
Graupner Super Nylon 9x4;0.525;0.0059;0.0153;0.204
Graupner Super Nylon 9x4;0.561;-0.0012;0.0119;-0.055
Graupner Super Nylon 9x4;0.602;-0.0089;0.0086;-0.621
Graupner Super Nylon 9x4;0.121;0.079;0.0376;0.253
Graupner Super Nylon 9x4;0.151;0.0742;0.0369;0.304
Graupner Super Nylon 9x4;0.183;0.0695;0.0361;0.353
Graupner Super Nylon 9x4;0.214;0.0643;0.0352;0.391
Graupner Super Nylon 9x4;0.247;0.0591;0.0338;0.432
Graupner Super Nylon 9x4;0.284;0.0519;0.0321;0.459
Graupner Super Nylon 9x4;0.317;0.0462;0.0303;0.482
Graupner Super Nylon 9x4;0.346;0.0406;0.0284;0.494
Graupner Super Nylon 9x4;0.381;0.0351;0.0266;0.502
Graupner Super Nylon 9x4;0.411;0.0296;0.0247;0.493
Graupner Super Nylon 9x4;0.447;0.0225;0.0219;0.459
Graupner Super Nylon 9x4;0.48;0.0158;0.019;0.398
Graupner Super Nylon 9x4;0.508;0.0097;0.0162;0.302
Graupner Super Nylon 9x4;0.545;0.0023;0.013;0.097
Graupner Super Nylon 9x4;0.576;-0.0037;0.0102;-0.208
Graupner Super Nylon 9x4;0.605;-0.0096;0.0076;-0.764
Graupner Super Nylon 9x4;0.098;0.0864;0.038;0.222
Graupner Super Nylon 9x4;0.129;0.0823;0.0377;0.282
Graupner Super Nylon 9x4;0.15;0.0794;0.0374;0.319
Graupner Super Nylon 9x4;0.179;0.0751;0.0368;0.365
Graupner Super Nylon 9x4;0.205;0.0708;0.036;0.403
Graupner Super Nylon 9x4;0.232;0.0663;0.0351;0.437
Graupner Super Nylon 9x4;0.261;0.0606;0.034;0.465
Graupner Super Nylon 9x4;0.289;0.0552;0.0326;0.49
Graupner Super Nylon 9x4;0.315;0.0509;0.0314;0.51
Graupner Super Nylon 9x4;0.344;0.0454;0.0298;0.524
Graupner Super Nylon 9x4;0.368;0.0408;0.0282;0.533
Graupner Super Nylon 9x4;0.398;0.0344;0.0261;0.524
Graupner Super Nylon 9x4;0.42;0.0304;0.0246;0.519
Graupner Super Nylon 9x4;0.447;0.0251;0.0225;0.498
Graupner Super Nylon 9x4;0.478;0.019;0.0199;0.456
Graupner Super Nylon 9x4;0.506;0.0128;0.0174;0.371
Graupner Super Nylon 9x4;0.535;0.0064;0.0146;0.235
Graupner Super Nylon 9x4;0.393;0.0372;0.0274;0.535
Graupner Super Nylon 9x4;0.419;0.0319;0.0254;0.526
Graupner Super Nylon 9x4;0.445;0.0267;0.0234;0.509
Graupner Super Nylon 9x4;0.467;0.0224;0.0217;0.483
Graupner Super Nylon 9x4;0.491;0.0171;0.0195;0.431
Graupner Super Nylon 9x4;0.51;0.0121;0.0176;0.35
Graupner Super Nylon 9x4;0.535;0.0068;0.0152;0.24
Graupner Super Nylon 9x4;0.563;0.0011;0.0124;0.048
Graupner Super Nylon 9x4;0.587;-0.0043;0.0099;-0.252
Graupner Super Nylon 9x4;0.612;-0.0103;0.0074;-0.845
Graupner Super Nylon 9x4;0.086;0.0894;0.0381;0.203
Graupner Super Nylon 9x4;0.106;0.0873;0.038;0.244
Graupner Super Nylon 9x4;0.135;0.0838;0.0379;0.298
Graupner Super Nylon 9x4;0.155;0.0811;0.0376;0.335
Graupner Super Nylon 9x4;0.179;0.0777;0.0372;0.374
Graupner Super Nylon 9x4;0.205;0.0735;0.0366;0.412
Graupner Super Nylon 9x4;0.229;0.0694;0.036;0.441
Graupner Super Nylon 9x4;0.253;0.0654;0.0352;0.47
Graupner Super Nylon 9x4;0.276;0.0612;0.0341;0.495
Graupner Super Nylon 9x4;0.303;0.0558;0.0329;0.515
Graupner Super Nylon 9x4;0.326;0.0514;0.0316;0.53
Graupner Super Nylon 9x4;0.347;0.0472;0.0304;0.54
Graupner Super Nylon 9x4;0.373;0.0421;0.0287;0.547
Graupner Super Nylon 9x4;0.392;0.0385;0.0274;0.55
Graupner Super Nylon 9x4;0.418;0.0327;0.0255;0.536
Graupner Super Nylon 9x4;0.444;0.0277;0.0236;0.521
Graupner Super Nylon 9x4;0.465;0.0234;0.0218;0.499
KAVON FK 9x4;0.155;0.0515;0.0262;0.304
KAVON FK 9x4;0.194;0.0451;0.0248;0.351
KAVON FK 9x4;0.234;0.0396;0.0236;0.393
KAVON FK 9x4;0.276;0.0328;0.022;0.412
KAVON FK 9x4;0.315;0.027;0.0203;0.419
KAVON FK 9x4;0.367;0.0184;0.0176;0.384
KAVON FK 9x4;0.406;0.0119;0.0151;0.32
KAVON FK 9x4;0.446;0.0044;0.012;0.163
KAVON FK 9x4;0.487;-0.0034;0.0091;-0.184
KAVON FK 9x4;0.121;0.0605;0.0275;0.267
KAVON FK 9x4;0.156;0.0552;0.0267;0.323
KAVON FK 9x4;0.19;0.0495;0.0256;0.368
KAVON FK 9x4;0.218;0.045;0.0247;0.398
KAVON FK 9x4;0.255;0.0396;0.0234;0.431
KAVON FK 9x4;0.287;0.0346;0.0221;0.451
KAVON FK 9x4;0.323;0.0288;0.0203;0.459
KAVON FK 9x4;0.351;0.0241;0.0186;0.454
KAVON FK 9x4;0.388;0.0176;0.0162;0.421
KAVON FK 9x4;0.42;0.0116;0.0139;0.351
KAVON FK 9x4;0.455;0.0038;0.0114;0.154
KAVON FK 9x4;0.484;-0.0015;0.0092;-0.081
KAVON FK 9x4;0.101;0.0658;0.0287;0.231
KAVON FK 9x4;0.128;0.0626;0.0284;0.282
KAVON FK 9x4;0.154;0.0589;0.0277;0.327
KAVON FK 9x4;0.181;0.0548;0.027;0.366
KAVON FK 9x4;0.211;0.0494;0.0259;0.403
KAVON FK 9x4;0.238;0.0447;0.0248;0.429
KAVON FK 9x4;0.266;0.0396;0.0235;0.448
KAVON FK 9x4;0.29;0.0357;0.0224;0.463
KAVON FK 9x4;0.324;0.0302;0.0208;0.47
KAVON FK 9x4;0.347;0.0263;0.0195;0.468
KAVON FK 9x4;0.378;0.0205;0.0174;0.444
KAVON FK 9x4;0.399;0.0167;0.0159;0.419
KAVON FK 9x4;0.427;0.0103;0.0137;0.321
KAVON FK 9x4;0.455;0.005;0.0116;0.197
KAVON FK 9x4;0.486;-0.0009;0.0092;-0.048
KAVON FK 9x4;0.088;0.07;0.0293;0.209
KAVON FK 9x4;0.113;0.0674;0.0291;0.263
KAVON FK 9x4;0.133;0.0652;0.0289;0.3
KAVON FK 9x4;0.154;0.0624;0.0285;0.338
KAVON FK 9x4;0.179;0.059;0.028;0.377
KAVON FK 9x4;0.203;0.0549;0.0272;0.409
KAVON FK 9x4;0.231;0.0496;0.026;0.441
KAVON FK 9x4;0.254;0.0456;0.0251;0.463
KAVON FK 9x4;0.277;0.0411;0.0239;0.477
KAVON FK 9x4;0.297;0.0368;0.0228;0.479
KAVON FK 9x4;0.324;0.032;0.0214;0.485
KAVON FK 9x4;0.348;0.0278;0.02;0.484
KAVON FK 9x4;0.367;0.0245;0.0188;0.477
KAVON FK 9x4;0.392;0.0196;0.017;0.452
KAVON FK 9x4;0.421;0.0131;0.0148;0.374
KAVON FK 9x4;0.441;0.0089;0.013;0.3
KAVON FK 9x4;0.468;0.0034;0.0111;0.142
KYOSHO 9x6;0.159;0.0983;0.0524;0.298
KYOSHO 9x6;0.199;0.0928;0.0529;0.35
KYOSHO 9x6;0.24;0.0861;0.0525;0.394
KYOSHO 9x6;0.282;0.079;0.0513;0.434
KYOSHO 9x6;0.324;0.0719;0.0499;0.467
KYOSHO 9x6;0.361;0.0663;0.0484;0.495
KYOSHO 9x6;0.406;0.0593;0.0459;0.523
KYOSHO 9x6;0.448;0.0527;0.0433;0.546
KYOSHO 9x6;0.476;0.0487;0.0415;0.559
KYOSHO 9x6;0.528;0.0403;0.0375;0.567
KYOSHO 9x6;0.554;0.036;0.0353;0.565
KYOSHO 9x6;0.6;0.0284;0.0313;0.546
KYOSHO 9x6;0.646;0.0203;0.0267;0.491
KYOSHO 9x6;0.685;0.0138;0.0229;0.413
KYOSHO 9x6;0.728;0.0056;0.0179;0.227
KYOSHO 9x6;0.768;-0.0011;0.0133;-0.063
KYOSHO 9x6;0.803;-0.0074;0.0091;-0.651
KYOSHO 9x6;0.13;0.1059;0.0519;0.264
KYOSHO 9x6;0.159;0.1029;0.0524;0.313
KYOSHO 9x6;0.192;0.0993;0.0529;0.359
KYOSHO 9x6;0.227;0.0942;0.0532;0.402
KYOSHO 9x6;0.261;0.0884;0.0528;0.436
KYOSHO 9x6;0.293;0.0828;0.0521;0.466
KYOSHO 9x6;0.323;0.0776;0.0511;0.49
KYOSHO 9x6;0.353;0.072;0.0497;0.512
KYOSHO 9x6;0.385;0.0665;0.0483;0.53
KYOSHO 9x6;0.414;0.0619;0.0468;0.547
KYOSHO 9x6;0.447;0.0563;0.0447;0.564
KYOSHO 9x6;0.476;0.0519;0.0429;0.575
KYOSHO 9x6;0.51;0.046;0.0401;0.585
KYOSHO 9x6;0.544;0.0405;0.0376;0.586
KYOSHO 9x6;0.582;0.034;0.0343;0.577
KYOSHO 9x6;0.602;0.0309;0.0327;0.567
KYOSHO 9x6;0.639;0.024;0.0291;0.526
KYOSHO 9x6;0.545;0.04;0.0375;0.582
KYOSHO 9x6;0.577;0.0346;0.0347;0.575
KYOSHO 9x6;0.601;0.0306;0.0327;0.562
KYOSHO 9x6;0.639;0.0238;0.0291;0.523
KYOSHO 9x6;0.673;0.0176;0.0255;0.466
KYOSHO 9x6;0.708;0.0114;0.0215;0.375
KYOSHO 9x6;0.736;0.0064;0.0184;0.255
KYOSHO 9x6;0.767;0.001;0.0147;0.051
KYOSHO 9x6;0.799;-0.0051;0.0107;-0.378
KYOSHO 9x6;0.832;-0.0112;0.0062;-1.492
KYOSHO 9x6;0.447;0.0601;0.0461;0.583
KYOSHO 9x6;0.477;0.0548;0.0441;0.593
KYOSHO 9x6;0.503;0.0505;0.0422;0.602
KYOSHO 9x6;0.529;0.0461;0.0402;0.607
KYOSHO 9x6;0.555;0.0414;0.038;0.604
KYOSHO 9x6;0.582;0.0367;0.0359;0.595
KYOSHO 9x6;0.614;0.031;0.0331;0.575
KYOSHO 9x6;0.641;0.0262;0.0304;0.552
KYOSHO 9x6;0.669;0.0212;0.0275;0.515
KYOSHO 9x6;0.693;0.017;0.025;0.471
KYOSHO 9x6;0.724;0.0112;0.0212;0.381
KYOSHO 9x6;0.745;0.0077;0.0189;0.304
KYOSHO 9x6;0.782;0.0004;0.0141;0.024
KYOSHO 9x6;0.805;-0.0042;0.0108;-0.315
KYOSHO 9x6;0.828;-0.0089;0.0076;-0.973
KYOSHO 9x6;0.107;0.1092;0.0509;0.23
KYOSHO 9x6;0.132;0.1076;0.0516;0.276
KYOSHO 9x6;0.157;0.106;0.0524;0.318
KYOSHO 9x6;0.187;0.1028;0.0528;0.364
KYOSHO 9x6;0.215;0.1;0.0534;0.401
KYOSHO 9x6;0.241;0.0962;0.0535;0.434
KYOSHO 9x6;0.267;0.0922;0.0533;0.461
KYOSHO 9x6;0.292;0.0877;0.0529;0.484
KYOSHO 9x6;0.318;0.0828;0.0523;0.504
KYOSHO 9x6;0.344;0.0779;0.0513;0.523
KYOSHO 9x6;0.37;0.0733;0.0502;0.54
KYOSHO 9x6;0.397;0.0688;0.049;0.557
KYOSHO 9x6;0.423;0.0646;0.0476;0.574
KYOSHO 9x6;0.453;0.0592;0.0457;0.587
KYOSHO 9x6;0.477;0.0553;0.0442;0.597
KYOSHO 9x6;0.503;0.0509;0.0424;0.603
KYOSHO 9x6;0.528;0.0464;0.0403;0.607
KYOSHO 9x6;0.095;0.1102;0.0502;0.209
KYOSHO 9x6;0.118;0.1093;0.0509;0.253
KYOSHO 9x6;0.142;0.1079;0.0517;0.297
KYOSHO 9x6;0.164;0.1063;0.0523;0.334
KYOSHO 9x6;0.188;0.1043;0.0529;0.37
KYOSHO 9x6;0.214;0.1017;0.0535;0.407
KYOSHO 9x6;0.237;0.0989;0.0536;0.437
KYOSHO 9x6;0.259;0.0958;0.0536;0.462
KYOSHO 9x6;0.282;0.0919;0.0534;0.485
KYOSHO 9x6;0.305;0.0878;0.0531;0.505
KYOSHO 9x6;0.329;0.0834;0.0524;0.523
KYOSHO 9x6;0.351;0.0794;0.0516;0.539
KYOSHO 9x6;0.374;0.0751;0.0507;0.554
KYOSHO 9x6;0.401;0.0701;0.0493;0.57
KYOSHO 9x6;0.428;0.0655;0.0479;0.586
KYOSHO 9x6;0.45;0.0619;0.0467;0.596
KYOSHO 9x6;0.472;0.058;0.0454;0.603
KYOSHO 9x6;0.396;0.071;0.0497;0.564
KYOSHO 9x6;0.423;0.066;0.0481;0.58
KYOSHO 9x6;0.446;0.0624;0.0469;0.592
KYOSHO 9x6;0.471;0.0575;0.0452;0.6
KYOSHO 9x6;0.492;0.0546;0.0441;0.608
KYOSHO 9x6;0.514;0.0504;0.042;0.615
KYOSHO 9x6;0.541;0.0455;0.0401;0.614
KYOSHO 9x6;0.563;0.0418;0.0384;0.613
KYOSHO 9x6;0.585;0.0379;0.0366;0.606
KYOSHO 9x6;0.607;0.0342;0.0349;0.595
KYOSHO 9x6;0.634;0.0293;0.0322;0.576
KYOSHO 9x6;0.66;0.0248;0.0297;0.551
KYOSHO 9x6;0.681;0.0212;0.0276;0.524
KYOSHO 9x6;0.711;0.0157;0.0243;0.46
KYOSHO 9x6;0.73;0.0119;0.0217;0.399
KYOSHO 9x6;0.757;0.0068;0.0184;0.28
MASTER AIRSCREW G/F 9x5;0.154;0.082;0.0421;0.299
